ProbeID	Chr	Locus	LRS	MaxLODpvalue	p001	p05	p10
1415670_at	18	rs4231742	10.289287	0.252000	21.666986	13.235847	11.802354
1415671_at	16	rs4221305	5.912330	0.986000	21.046604	14.755926	13.602938
1415673_at	5	D5Mit388	11.977409	0.166000	24.578110	14.119045	12.727803
1415674_a_at	10	rs13480802	6.906967	0.970000	25.627980	16.063677	14.627848
1415675_at	8	rs13479605	7.924214	0.804000	19.740548	13.556273	12.611894
1415676_a_at	X	CEL-X_9031623	6.852570	0.946000	15.987656	13.147910	12.401915
1415677_at	3	rs13476950	6.658291	0.965000	21.885966	14.038414	12.918529
1415678_at	14	rs13482218	9.239375	0.623000	18.694633	14.833821	13.430453
1415680_at	12	rs6170344	11.931388	0.194000	29.744133	14.427368	13.196389
1415681_at	12	rs13481599	9.549808	0.607000	20.874168	15.113414	14.035009
1415682_at	16	rs4205157	9.885273	0.558000	22.667534	15.563686	13.986007
1415683_at	12	rs6170344	7.540369	0.854000	17.545848	13.663383	12.525513
1415684_at	5	rs6237838	7.552725	0.869000	20.362750	14.031670	12.804579
1415685_at	11	rs13480935	41.958413	0.000023	29.511012	18.202589	16.280597
1415686_at	5	D5Mit388	8.935976	0.412000	19.247087	12.731887	11.563211
1415687_a_at	16	rs4206648	7.669964	0.897000	29.058486	16.189175	14.419519
1415688_at	5	rs3657916	11.317755	0.396000	21.190144	16.116564	14.690513
1415689_s_at	5	CEL-5_3149134	16.349189	0.107000	39.499364	18.218526	16.455300
1415690_at	13	rs3724755	7.180383	0.909000	20.561193	13.820482	12.740596
1415691_at	19	mCV23482939	12.136965	0.250000	23.637370	15.878599	14.193646
1415692_s_at	11	rs3715924	6.254150	0.961000	20.629152	13.154254	12.056354
1415693_at	12	rs6170344	11.475176	0.247000	19.763690	14.740437	13.326956
1415695_at	5	D5Mit388	11.141672	0.365000	22.221434	15.485596	14.421499
1415696_at	5	D5Mit388	11.170970	0.282000	22.939275	14.651883	13.252974
1415697_at	4	rs6404906	14.081584	0.223000	30.517628	18.270399	16.427480
1415698_at	19	rs4232105	12.112996	0.296000	21.038870	16.393182	14.665387
1415700_a_at	5	rs3662682	8.763174	0.825000	25.050891	17.350028	15.753415
1415702_a_at	15	rs13482420	11.188768	0.385000	24.105317	15.676305	14.314073
1415703_at	5	rs3703261	10.247000	0.461000	23.950106	14.580965	13.376405
1415705_at	13	rs3724755	8.420883	0.886000	26.354153	17.064354	15.350591
1415706_at	1	NES13033186	49.688005	0.000002	28.749229	17.976752	16.106397
1415707_at	10	rs6237927	8.157990	0.860000	26.177040	16.481767	15.172739
1415709_s_at	1	gnf01.107.327	8.918760	0.727000	24.766167	16.154856	14.657511
1415710_at	5	rs13478386	48.592402	0.000000	29.113862	18.206084	16.271720
1415712_at	10	rs13480601	10.357021	0.591000	28.452068	18.324956	16.547093
1415713_a_at	9	rs3705403	7.569484	0.887000	29.355162	15.062936	13.733843
1415715_at	11	rs3673722	7.855807	0.891000	24.456386	15.259803	14.116752
1415717_at	10	rs13480575	13.808911	0.074000	21.802325	14.643344	13.279493
1415718_at	11	rs13481041	13.063789	0.039000	19.237767	12.617825	11.607655
1415719_s_at	14	rs3710916	12.993594	0.155000	20.128033	14.778681	13.686356
1415720_s_at	1	rs6312657	8.034684	0.701000	19.541923	12.925810	12.113511
1415721_a_at	14	rs3689508	11.717199	0.316000	27.940109	15.551363	14.555067
1415722_a_at	5	D5Mit388	11.029451	0.293000	19.727481	14.116426	13.154992
1415723_at	12	CEL-12_108727612	14.125268	0.163000	25.442651	17.145471	15.216970
1415724_a_at	18	rs13483377	13.862224	0.128000	29.420974	15.885330	14.387935
1415725_at	8	rs3666069	9.575673	0.694000	23.596501	17.254256	15.233355
1415726_at	5	rs6265085	9.376473	0.687000	24.053555	16.488576	14.916241
1415727_at	10	rs6237927	8.865014	0.524000	18.073218	13.134890	12.090986
1415728_at	17	rs13482947	8.575306	0.836000	25.803481	17.080746	15.149667
1415729_at	10	rs13480575	13.748047	0.091000	25.032930	14.918738	13.490620
